lat,lon,NDVI,FCC,carbon_tC_ha,region,typology
21.69374675204552,88.9649510278877,0.7510346329775648,91,184.22069265955128,Sundarbans,Delta
22.060659655557,88.83584177536518,0.6187617260787992,80,168.37523452157598,Sundarbans,Delta
21.743637062660852,88.99939782657715,0.7468665897731641,93,186.5373317954633,Sundarbans,Delta
22.10602310841174,89.46122483655823,0.646921278254092,74,161.73842556508185,Sundarbans,Delta
22.030319040269003,88.98716942679302,0.7169877408056042,85,176.33975481611208,Sundarbans,Delta
22.19968093119433,89.43294248450601,0.5587188612099644,63,146.77437722419927,Sundarbans,Delta
21.59976860168304,88.5378967311809,0.7155700858193706,84,175.11140171638743,Sundarbans,Delta
22.107037516176817,89.09995732352769,0.7152357920193471,83,173.90471584038693,Sundarbans,Delta
22.213669069005498,89.38374775657687,0.6298145506419401,88,178.1962910128388,Sundarbans,Delta
21.791766148591922,89.0073736117061,0.728920741989882,86,177.77841483979762,Sundarbans,Delta
21.847616765364748,89.20179904068999,0.7164461247637051,80,170.3289224952741,Sundarbans,Delta
21.950399220420586,88.95915708073909,0.7176783703552053,73,161.9535674071041,Sundarbans,Delta
22.417030268955614,89.368533966305,0.6180698151950719,93,183.96139630390147,Sundarbans,Delta
22.078207414386686,89.20817508609986,0.6157866282213011,80,168.315732564426,Sundarbans,Delta
22.009758679708234,89.05266371415588,0.4262198706643151,59,139.3243974132863,Sundarbans,Delta
22.045135960945494,89.02445398892078,0.7426573426573426,92,185.25314685314686,Sundarbans,Delta
22.07422306763896,89.43872950404541,0.7152635181382615,81,171.50527036276523,Sundarbans,Delta
21.833185377305877,88.70278894723157,0.7645150827116445,86,178.49030165423287,Sundarbans,Delta
22.39558445212091,89.40493502461794,-0.11299052774018944,38,103.3401894451962,Sundarbans,Delta
21.70101426307697,88.8347004030244,0.7261189044756179,86,177.72237808951235,Sundarbans,Delta
22.107799256546016,88.93567502229813,0.699965433805738,78,167.5993086761148,Sundarbans,Delta
21.797394144701535,89.25622869431476,0.7596741344195519,100,195.19348268839104,Sundarbans,Delta
22.198734315035043,89.26855419868173,0.6611205432937182,84,174.02241086587438,Sundarbans,Delta
22.05949903048611,88.92132176067614,0.7156878782921643,87,178.71375756584328,Sundarbans,Delta
21.976898519519914,89.30288268081777,0.7299712735397382,90,182.59942547079476,Sundarbans,Delta
22.13568311120362,89.25264329917377,0.6676933052358567,91,182.55386610471712,Sundarbans,Delta
21.891008269507395,88.77366786854105,0.5832453361492432,76,162.86490672298484,Sundarbans,Delta
21.867567722025903,88.97615124818064,0.596538483580721,72,158.3307696716144,Sundarbans,Delta
21.938383074598338,89.34580983538652,0.6511861009021049,57,141.42372201804207,Sundarbans,Delta
21.78952937174406,88.71630803438485,0.7481216457960644,87,179.3624329159213,Sundarbans,Delta
22.234294080433802,89.49300346022429,0.7386683338543295,93,186.3733666770866,Sundarbans,Delta
22.046462587029005,88.86475243536238,0.6897666068222621,80,169.79533213644524,Sundarbans,Delta
22.259281230245385,89.397539540122,0.5896279594137542,64,148.5925591882751,Sundarbans,Delta
